step; process; value
7; 35; 0.69911
7; 36; 0.54604
7; 37; 0.64689
7; 38; 0.58514
7; 39; 0.69938
7; 40; 0.43189
7; 41; 0.71793
7; 42; 0.65315
7; 43; 0.39434
7; 44; 0.51828
7; 45; 0.54046
7; 46; 0.65539
7; 47; 0.60533
7; 48; 0.44176
7; 49; 0.51928
7; 50; 0.38840
7; 51; 0.43199
7; 52; 0.55230
7; 53; 0.54499
7; 54; 0.39928
7; 55; 0.52124
7; 56; 0.41203
7; 57; 0.43826
7; 58; 0.36214
7; 59; 0.47359
7; 60; 0.41433
7; 61; 0.53731
7; 62; 0.41721
7; 63; 0.40911
8; 0; 0.33573
8; 1; 0.39746
8; 2; 0.36401
8; 3; 0.60269
8; 4; 0.31665
8; 5; 0.52272
8; 6; 0.59118
8; 7; 0.43214
8; 8; 0.27492
8; 9; 0.40416
8; 10; 0.56731
8; 11; 0.47403
8; 12; 0.59849
8; 13; 0.58877
8; 14; 0.48787
8; 15; 0.43456
8; 16; 0.61614
8; 17; 0.57166
8; 18; 0.59239
8; 19; 0.45326
8; 20; 0.50962
8; 21; 0.40296
8; 22; 0.75614
8; 23; 0.54350
8; 24; 0.63287
8; 25; 0.50946
8; 26; 0.55858
8; 27; 0.69233
8; 28; 0.59343
8; 29; 0.59171
8; 30; 0.41840
8; 31; 0.71046
8; 32; 0.68674
8; 33; 0.49411
8; 34; 0.80300
8; 35; 0.77068
8; 36; 0.42322
8; 37; 0.72429
8; 38; 0.66479
8; 39; 0.68434
8; 40; 0.65945
8; 41; 0.74266
8; 42; 0.74629
8; 43; 0.65549
8; 44; 0.53820
8; 45; 0.52464
8; 46; 0.57414
8; 47; 0.64587
8; 48; 0.47464
8; 49; 0.31932
8; 50; 0.31930
8; 51; 0.57879
8; 52; 0.54918
8; 53; 0.38199
8; 54; 0.62862
8; 55; 0.40239
8; 56; 0.62337
8; 57; 0.35521
8; 58; 0.54859
8; 59; 0.37844
8; 60; 0.36638
8; 61; 0.38388
8; 62; 0.51813
8; 63; 0.64086
9; 0; 0.34742
9; 1; 0.46440
9; 2; 0.56845
9; 3; 0.64127
9; 4; 0.61082
9; 5; 0.36352
9; 6; 0.47329
9; 7; 0.53723
9; 8; 0.47767
9; 9; 0.28304
9; 10; 0.36725
9; 11; 0.56898
9; 12; 0.58672
9; 13; 0.65719
9; 14; 0.47132
9; 15; 0.46976
9; 16; 0.50163
9; 17; 0.68788
9; 18; 0.64210
9; 19; 0.50725
9; 20; 0.59067
9; 21; 0.57234
9; 22; 0.51579
9; 23; 0.62111
9; 24; 0.61625
9; 25; 0.49738
9; 26; 0.79332
9; 27; 0.77505
9; 28; 0.55257
9; 29; 0.61173
9; 30; 0.43048
9; 31; 0.63875
9; 32; 0.70180
9; 33; 0.43820
9; 34; 0.75341
9; 35; 0.65404
9; 36; 0.41849
9; 37; 0.71781
9; 38; 0.64832
9; 39; 0.41568
9; 40; 0.57381
9; 41; 0.56404
9; 42; 0.71915
9; 43; 0.50650
9; 44; 0.47534
9; 45; 0.60754
9; 46; 0.69447
9; 47; 0.39182
