step; process; value
7; 42; 0.27405
7; 43; 0.37350
7; 44; 0.37667
7; 45; 0.19878
7; 46; 0.19935
7; 47; 0.17137
7; 48; 0.17810
7; 49; 0.18322
7; 50; 0.18556
7; 51; 0.27789
7; 52; 0.24722
7; 53; 0.17367
7; 54; 0.17005
7; 55; 0.16934
7; 56; 0.17025
7; 57; 0.17215
7; 58; 0.22866
7; 59; 0.22202
7; 60; 0.18485
7; 61; 0.17272
7; 62; 0.17031
7; 63; 0.17740
8; 0;
8; 1; 0.13522
8; 2; 0.17026
8; 3; 0.19104
8; 4; 0.21527
8; 5; 0.17321
8; 6; 0.17030
8; 7; 0.17024
8; 8; 0.17500
8; 9; 0.17408
8; 10; 0.17283
8; 11; 0.24551
8; 12; 0.27819
8; 13; 0.20167
8; 14; 0.17458
8; 15; 0.17287
8; 16; 0.17166
8; 17; 0.21436
8; 18; 0.21683
8; 19; 0.37617
8; 20; 0.37284
8; 21; 0.35901
8; 22; 0.30931
8; 23; 0.17248
8; 24; 0.18929
8; 25; 0.31733
8; 26; 0.32201
8; 27; 0.36025
8; 28; 0.27202
8; 29; 0.29225
8; 30; 0.33134
8; 31; 0.25759
8; 32; 0.26523
8; 33; 0.33234
8; 34; 0.29145
8; 35; 0.29522
8; 36; 0.34016
8; 37; 0.30500
8; 38; 0.31777
8; 39; 0.20474
8; 40; 0.17182
8; 41; 0.30921
8; 42; 0.27688
8; 43; 0.38884
8; 44; 0.38961
8; 45; 0.22735
8; 46; 0.21762
8; 47; 0.17083
8; 48; 0.17784
8; 49; 0.18518
8; 50; 0.18461
8; 51; 0.29115
8; 52; 0.24868
8; 53; 0.17382
8; 54; 0.17163
8; 55; 0.16938
8; 56; 0.18986
8; 57; 0.17041
8; 58; 0.19234
8; 59; 0.20847
8; 60; 0.18256
8; 61; 0.17947
8; 62; 0.18144
8; 63; 0.19156
9; 0;
9; 1; 0.13513
9; 2; 0.17028
9; 3; 0.18225
9; 4; 0.20738
9; 5; 0.17102
9; 6; 0.17113
9; 7; 0.17041
9; 8; 0.18744
9; 9; 0.17025
9; 10; 0.17995
9; 11; 0.26583
9; 12; 0.27791
9; 13; 0.20296
9; 14; 0.18344
9; 15; 0.17001
9; 16; 0.17048
9; 17; 0.22282
9; 18; 0.19779
9; 19; 0.37848
9; 20; 0.37464
9; 21; 0.37388
9; 22; 0.31927
9; 23; 0.17544
9; 24; 0.19692
9; 25; 0.31813
9; 26; 0.32756
9; 27; 0.34220
9; 28; 0.29471
9; 29; 0.30040
9; 30; 0.33388
9; 31; 0.25702
9; 32; 0.26184
9; 33; 0.35541
9; 34; 0.30617
9; 35; 0.27240
9; 36; 0.35685
9; 37; 0.31209
9; 38; 0.32068
9; 39; 0.18929
9; 40; 0.17283
9; 41; 0.32029
9; 42; 0.27727
9; 43; 0.37218
9; 44; 0.37737
9; 45; 0.19923
9; 46; 0.21691
9; 47; 0.17773
9; 48; 0.18334
9; 49; 0.17775
9; 50; 0.18552
9; 51; 0.28295
9; 52; 0.25200
9; 53; 0.17306
9; 54; 0.17392
9; 55; 0.18554
9; 56; 0.17012
9; 57; 0.17028
9; 58; 0.17737
9; 59; 0.21887
9; 60; 0.19598
9; 61; 0.17049
9; 62; 0.17116
9; 63; 0.17579
10; 0;
10; 1; 0.13507
10; 2; 0.17355
10; 3; 0.20178
10; 4; 0.21441
10; 5; 0.18253
10; 6; 0.17106
10; 7; 0.17628
10; 8; 0.17075
10; 9; 0.17283
10; 10; 0.18093
10; 11; 0.25152
10; 12; 0.28111
10; 13; 0.18598
10; 14; 0.17444
10; 15; 0.19239
10; 16; 0.17077
10; 17; 0.20023
10; 18; 0.19914
10; 19; 0.39834
10; 20; 0.39024
10; 21; 0.35477
10; 22; 0.30877
10; 23; 0.17588
10; 24; 0.19010
10; 25; 0.33678
10; 26; 0.30746
10; 27; 0.34579
10; 28; 0.27424
10; 29; 0.29004
10; 30; 0.33823
10; 31; 0.27372
10; 32; 0.28915
10; 33; 0.33266
10; 34; 0.30741
10; 35; 0.27440
10; 36; 0.35942
10; 37; 0.32140
10; 38; 0.32385
10; 39; 0.20625
10; 40; 0.17169
10; 41; 0.31092
10; 42; 0.28037
10; 43; 0.38184
10; 44; 0.38351
10; 45; 0.19894
10; 46; 0.20045
10; 47; 0.17044
10; 48; 0.17015
10; 49; 0.18898
10; 50; 0.19686
10; 51; 0.28213
10; 52; 0.25576
10; 53; 0.17412
10; 54; 0.17156
10; 55; 0.17594
10; 56; 0.16946
10; 57; 0.17055
10; 58; 0.17338
10; 59; 0.23022
10; 60; 0.18212
10; 61; 0.17221
10; 62; 0.17390
10; 63; 0.17305
