step; process; value
10; 1; 0.38633
10; 2; 0.74732
10; 3; 0.32031
10; 4; 0.65835
10; 5; 0.54954
10; 6; 0.58529
10; 7; 0.57430
10; 8; 0.65820
10; 9; 0.46564
10; 10; 0.30770
10; 11; 0.82075
10; 12; 0.47061
10; 13; 0.49945
10; 14; 0.69453
10; 15; 0.30430
10; 16; 0.43135
10; 17; 0.34087
10; 18; 0.64279
10; 19; 0.56058
10; 20; 1.00203
10; 21; 0.59292
10; 22; 0.79189
10; 23; 0.57093
10; 24; 0.44247
10; 25; 0.49989
10; 26; 0.89368
10; 27; 0.76405
10; 28; 0.63483
10; 29; 0.68774
10; 30; 0.94863
10; 31; 0.58033
10; 32; 0.62906
10; 33; 0.76419
10; 34; 0.58185
10; 35; 0.83448
10; 36; 0.99259
10; 37; 0.65820
10; 38; 0.87422
10; 39; 0.33070
10; 40; 0.62953
10; 41; 0.90974
10; 42; 0.83690
10; 43; 0.76421
10; 44; 0.89683
10; 45; 0.34265
10; 46; 0.64310
10; 47; 0.56844
10; 48; 0.40026
10; 49; 0.60549
10; 50; 0.57661
10; 51; 0.68454
10; 52; 0.78870
10; 53; 0.56512
10; 54; 0.54748
10; 55; 0.54753
10; 56; 0.56873
10; 57; 0.30425
10; 58; 0.58834
10; 59; 0.67306
10; 60; 0.72572
10; 61; 0.53993
10; 62; 0.56499
10; 63; 0.81094
